spell damage,hit chance,crit chance,number of mages,simulations,dps per mage
300,89,10,1,3000,453.84
300,89,10,2,3000,483.03
300,89,10,3,3000,491.88
300,89,10,4,3000,491.61
300,89,10,5,3000,491.20
300,89,10,6,3000,490.60
300,89,10,7,3000,489.99
300,89,10,8,3000,488.00
300,89,10,9,3000,486.87
300,89,15,1,3000,477.09
300,89,15,2,3000,509.52
300,89,15,3,3000,519.75
300,89,15,4,3000,521.49
300,89,15,5,3000,521.51
300,89,15,6,3000,522.14
300,89,15,7,3000,521.59
300,89,15,8,3000,519.31
300,89,15,9,3000,517.40
300,89,20,1,3000,501.31
300,89,20,2,3000,539.06
300,89,20,3,3000,552.49
300,89,20,4,3000,554.41
300,89,20,5,3000,554.49
300,89,20,6,3000,554.16
300,89,20,7,3000,552.48
300,89,20,8,3000,548.59
300,89,20,9,3000,542.86
300,89,25,1,3000,527.21
300,89,25,2,3000,570.96
300,89,25,3,3000,585.21
300,89,25,4,3000,588.97
300,89,25,5,3000,588.55
300,89,25,6,3000,585.78
300,89,25,7,3000,578.01
300,89,25,8,3000,570.43
300,89,25,9,3000,562.47
300,89,30,1,3000,554.77
300,89,30,2,3000,605.54
300,89,30,3,3000,622.12
300,89,30,4,3000,624.38
300,89,30,5,3000,618.40
300,89,30,6,3000,610.49
300,89,30,7,3000,600.76
300,89,30,8,3000,588.75
300,89,30,9,3000,575.87
300,89,35,1,3000,587.17
300,89,35,2,3000,642.60
300,89,35,3,3000,660.28
300,89,35,4,3000,656.32
300,89,35,5,3000,647.03
300,89,35,6,3000,631.98
300,89,35,7,3000,617.19
300,89,35,8,3000,600.11
300,89,35,9,3000,588.44
300,89,40,1,3000,620.37
300,89,40,2,3000,683.83
300,89,40,3,3000,698.50
300,89,40,4,3000,686.03
300,89,40,5,3000,669.87
300,89,40,6,3000,650.45
300,89,40,7,3000,629.53
300,89,40,8,3000,614.76
300,89,40,9,3000,602.46
300,89,45,1,3000,655.84
300,89,45,2,3000,728.25
300,89,45,3,3000,734.23
300,89,45,4,3000,712.58
300,89,45,5,3000,687.17
300,89,45,6,3000,663.19
300,89,45,7,3000,644.26
300,89,45,8,3000,628.16
300,89,45,9,3000,614.59
300,89,50,1,3000,696.47
300,89,50,2,3000,771.08
300,89,50,3,3000,768.64
300,89,50,4,3000,734.09
300,89,50,5,3000,702.98
300,89,50,6,3000,680.07
300,89,50,7,3000,658.78
300,89,50,8,3000,641.89
300,89,50,9,3000,626.17
300,89,55,1,3000,739.23
300,89,55,2,3000,814.95
300,89,55,3,3000,798.35
300,89,55,4,3000,753.80
300,89,55,5,3000,720.88
300,89,55,6,3000,694.35
300,89,55,7,3000,672.10
300,89,55,8,3000,652.53
300,89,55,9,3000,636.74
300,89,60,1,3000,789.60
300,89,60,2,3000,860.85
300,89,60,3,3000,826.65
300,89,60,4,3000,774.40
300,89,60,5,3000,736.14
300,89,60,6,3000,708.01
